character	value_extended	raw_value	window_freq
盛	1.000000	0.056686	809
睿	0.981392	0.055544	127
庆	0.951584	0.053714	358
畅	0.945954	0.053369	105
德	0.917741	0.051638	1233
隆	0.911295	0.051242	75
祥	0.894502	0.050211	304
丽	0.881002	0.049383	509
跃	0.858031	0.047973	230
洽	0.853241	0.047679	140
悦	0.852644	0.047643	135
瑞	0.839350	0.046827	504
式	0.785572	0.043526	92
禋	0.784375	0.043453	68
奕	0.778257	0.043077	54
福	0.769104	0.042516	296
礼	0.764725	0.042247	1002
秾	0.761483	0.042048	78
嘉	0.758780	0.041882	563
英	0.754522	0.041621	810
灼	0.748119	0.041228	82
贺	0.739890	0.040723	270
启	0.738648	0.040647	360
祀	0.735942	0.040481	200
焕	0.732021	0.040240	65
乐	0.726600	0.039907	2283
播	0.726579	0.039906	100
欣	0.713449	0.039100	219
献	0.712511	0.039043	624
丰	0.708858	0.038818	390
功	0.707301	0.038723	1523
秀	0.699295	0.038232	493
奉	0.696267	0.038046	580
祚	0.690251	0.037677	103
藻	0.683464	0.037260	291
宴	0.676829	0.036853	771
荐	0.671801	0.036544	486
虔	0.671728	0.036540	79
崇	0.667393	0.036274	335
液	0.666896	0.036243	186
宸	0.663385	0.036028	240
敷	0.658074	0.035702	165
颂	0.655877	0.035567	159
组	0.653454	0.035418	166
圣	0.653141	0.035399	1482
绶	0.646416	0.034986	294
合	0.645243	0.034914	1873
克	0.642691	0.034758	79
表	0.641809	0.034704	477
率	0.640711	0.034636	106
怡	0.639139	0.034540	96
擅	0.638828	0.034521	67
孝	0.633548	0.034197	222
馥	0.625511	0.033703	73
昌	0.623530	0.033582	307
葳	0.623517	0.033581	56
匈	0.621837	0.033478	61
沛	0.615659	0.033099	55
赏	0.615581	0.033094	855
俊	0.614407	0.033022	122
擢	0.614281	0.033014	66
馨	0.614223	0.033011	221
谟	0.610871	0.032805	76
檄	0.610813	0.032801	101
雄	0.607389	0.032591	859
宪	0.606425	0.032532	118
鸠	0.605854	0.032497	59
倡	0.603380	0.032345	66
薰	0.601029	0.032201	227
符	0.600678	0.032180	409
彩	0.594462	0.031798	1090
典	0.592677	0.031689	215
