imagery	value
英雄	1.682886
功成	1.616308
功名	1.495911
意气	1.428512
文章	1.371946
富贵	1.351561
圣主	1.338720
圣朝	1.270143
万国	1.250960
光辉	1.212259
行乐	1.207246
乾坤	1.199334
造化	1.190588
神仙	1.176757
名利	1.160103
大道	1.140036
翡翠	1.118394
千金	1.099654
星辰	1.060431
明主	1.056045
芳菲	1.046505
清净	1.042206
北阙	1.033931
清光	1.024810
五色	1.018942
九天	1.002543
道士	0.981866
应笑	0.976616
承恩	0.932587
东方	0.927186
丞相	0.921463
九衢	0.920563
双阙	0.916798
欢娱	0.911517
紫微	0.869784
牡丹	0.868845
等闲	0.865156
桃源	0.852130
天地	0.843408
佳期	0.839687
扬州	0.830613
太平	0.807015
莲花	0.801373
四方	0.786643
蓬莱	0.783915
清晨	0.780136
百花	0.779651
太守	0.777017
万象	0.775473
万物	0.764147
桃花	0.758466
姓名	0.748942
凤凰	0.737021
五马	0.735330
杯酒	0.733362
天子	0.732112
翩翩	0.730738
公卿	0.723772
花发	0.723402
鱼龙	0.721212
玲珑	0.716497
华发	0.713618
新诗	0.709165
才子	0.708832
公子	0.704976
题诗	0.704543
洛阳	0.704536
御沟	0.700942
青春	0.700099
出入	0.698697
二月	0.693377
四海	0.692863
花开	0.688100
风景	0.681538
文字	0.681216
桃李	0.679994
九重	0.678542
五陵	0.674461
梨花	0.669348
可以	0.665861
次第	0.658904
春色	0.654018
安得	0.653622
封侯	0.652496
酒杯	0.650961
天下	0.645924
逍遥	0.641505
北斗	0.638919
瑶池	0.631969
昆仑	0.629298
平明	0.616532
宫中	0.614624
旌旗	0.614368
明朝	0.607598
家家	0.606154
佳人	0.592826
三千	0.592497
平地	0.592178
楼台	0.591893
年华	0.589401
便是	0.588113
天台	0.586594
歌舞	0.584754
芳树	0.584378
羽翼	0.584274
车马	0.583415
花满	0.582666
诸侯	0.579319
笙歌	0.579107
物外	0.575632
仿佛	0.565594
自是	0.558841
金谷	0.558578
连天	0.557653
金陵	0.553029
焚香	0.552373
濛濛	0.549201
日照	0.548607
宫殿	0.543038
三尺	0.540758
池塘	0.540638
龙门	0.539585
绿水	0.538497
东海	0.535758
重阳	0.534652
百里	0.527488
园林	0.526967
高阁	0.523849
烟霞	0.523018
金石	0.519591
一杯	0.517716
长安	0.516277
百尺	0.501885
台上	0.498924
高台	0.495692
谢公	0.491675
三月	0.480839
黄金	0.478295
云霞	0.477863
白雪	0.470019
雪满	0.468332
南宫	0.467900
化为	0.464599
芳草	0.461692
武陵	0.460279
童子	0.459812
丹青	0.456555
梅花	0.455909
珍重	0.451104
柳色	0.450271
悠然	0.448397
自然	0.446882
左右	0.446432
池上	0.439645
菊花	0.435396
翠微	0.431796
君子	0.413971
汉家	0.412315
桂枝	0.411697
昔日	0.405674
年少	0.403615
王母	0.401224
走马	0.399857
骑马	0.389627
安可	0.388039
男儿	0.385856
千年	0.385483
为报	0.379822
丹砂	0.377597
千载	0.377186
登楼	0.375648
蛟龙	0.373908
登高	0.373382
疑是	0.368952
霄汉	0.368734
满地	0.367762
子孙	0.364827
王孙	0.361289
尚书	0.357953
阙下	0.356269
襄阳	0.353498
南国	0.352968
绮罗	0.351830
陌上	0.349853
绿杨	0.345641
宛转	0.345416
徒自	0.342116
看花	0.342085
重重	0.341227
浮云	0.340106
瑶台	0.335719
鸳鸯	0.330119
始知	0.329907
当年	0.328313
春风	0.325886
窈窕	0.325028
颜色	0.323978
花枝	0.322281
白马	0.321049
君王	0.318684
忘机	0.316558
衣冠	0.314016
何用	0.309010
须臾	0.307546
由来	0.307282
泠泠	0.304932
先生	0.302930
闲居	0.297747
此地	0.296304
镜中	0.296217
第一	0.292351
四面	0.291984
林间	0.291466
袅袅	0.290673
青云	0.288385
吾道	0.284322
何妨	0.281995
劝君	0.278868
双飞	0.278857
君看	0.278327
吾师	0.276438
垂杨	0.276026
美人	0.272245
朝廷	0.270209
参差	0.269240
饮酒	0.269010
与君	0.265170
南山	0.265078
分明	0.263905
何必	0.261674
何足	0.255323
