教材题名,作者,签名串,修正题名,作者别名
咏鹅,骆宾王,,,
悯农,李绅,锄禾,古风二首,
古朗月行,李白,小时不识月,,
风,李峤,,,
春晓,孟浩然,,,
赠汪伦,李白,,,
静夜思,李白,,,
寻隐者不遇,贾岛,,,
池上,白居易,小娃,,
小儿垂钓,胡令能,,,
登鹳雀楼,王之涣,白日依山,,
望庐山瀑布,李白,日照香炉,,
江雪,柳宗元,,,
夜宿山寺,李白,危楼高百尺,,
咏柳,贺知章,,,
赋得古原草送别,白居易,,,
绝句,杜甫,两个黄鹂,,
悯农,李绅,春种一粒粟,古风二首,
山行,杜牧,远上寒山,,
望天门山,李白,,,
望洞庭,刘禹锡,,,
早发白帝城,李白,朝辞白帝,,
采莲曲,王昌龄,荷叶罗裙,,
绝句,杜甫,迟日江山,,
忆江南,白居易,江南好,,
清明,杜牧,,,
九月九日忆山东兄弟,王维,,,
滁州西涧,韦应物,,,
大林寺桃花,白居易,,,
鹿柴,王维,空山不见人,,
暮江吟,白居易,,,
出塞,王昌龄,秦时明月,,
凉州词,王翰,葡萄美酒,,
别董大,高适,千里黄云,别董大二首,高適
嫦娥,李商隐,,常娥,
江畔独步寻花,杜甫,桃花一簇,,
蜂,罗隐,,,
独坐敬亭山,李白,,,
芙蓉楼送辛渐,王昌龄,寒雨连江,,
塞下曲,卢纶,月黑雁飞高,,
山居秋暝,王维,,,
枫桥夜泊,张继,,,
渔歌子,张志和,,渔父歌,
游子吟,孟郊,,,
鸟鸣涧,王维,,,
从军行,王昌龄,青海长云,,
闻官军收河南河北,杜甫,,,
凉州词,王之涣,黄河远上,,
黄鹤楼送孟浩然之广陵,李白,,,
宿建德江,孟浩然,,,
过故人庄,孟浩然,,,
浪淘沙,刘禹锡,九曲黄河,,
江南春,杜牧,,,
寒食,韩翃,,,
十五夜望月,王建,,,
马诗,李贺,大漠沙如雪,,
春夜喜雨,杜甫,,,
早春呈水部张十八员外,韩愈,天街小雨,,
送元二使安西,王维,,渭城曲,
闻王昌龄左迁龙标遥有此寄,李白,,闻王昌龄左迁龙标，遥有此寄,
次北固山下,王湾,,,
峨眉山月歌,李白,,,
江南逢李龟年,杜甫,,,
行军九日思长安故园,岑参,,,
夜上受降城闻笛,李益,,,
秋词,刘禹锡,自古逢秋,,
夜雨寄北,李商隐,,,
竹里馆,王维,,,
春夜洛城闻笛,李白,谁家玉笛,,
逢入京使,岑参,,,
晚春,韩愈,草树知春,,
登幽州台歌,陈子昂,,,
望岳,杜甫,岱宗夫如何,,
泊秦淮,杜牧,,,
贾生,李商隐,,,
野望,王绩,东皋薄暮望,,
黄鹤楼,崔颢,昔人已乘黄鹤去,,
使至塞上,王维,,,
渡荆门送别,李白,,,
钱塘湖春行,白居易,,钱唐湖春行,
春望,杜甫,国破山河在,,
雁门太守行,李贺,黑云压城,,
赤壁,杜牧,折戟沉沙,,
送杜少府之任蜀州,王勃,,杜少府之任蜀州,
望洞庭湖赠张丞相,孟浩然,,望洞庭湖，赠张丞相,
题破山寺后禅院,常建,,,
送友人,李白,青山横北郭,,
茅屋为秋风所破歌,杜甫,,,
卖炭翁,白居易,,,
行路难,李白,金樽清酒,,
酬乐天扬州初逢席上见赠,刘禹锡,,,
月夜忆舍弟,杜甫,,,
长沙过贾谊宅,刘长卿,,,
左迁至蓝关示侄孙湘,韩愈,,,
商山早行,温庭筠,,,
咸阳城东楼,许浑,,,
无题,李商隐,相见时难,,
白雪歌送武判官归京,岑参,,白雪歌，送武判官归京,
梦游天姥吟留别,李白,,,
登高,杜甫,风急天高,,
琵琶行,白居易,,琵琶引,
蜀道难,李白,,,
蜀相,杜甫,,,
登岳阳楼,杜甫,,,
春江花月夜,张若虚,,,
将进酒,李白,君不见,,
燕歌行,高适,,燕歌行,高適
李凭箜篌引,李贺,,,
锦瑟,李商隐,,,
客至,杜甫,舍南舍北,,
