Source,Target,Weight,Cooccur,Type
美人,花枝,0.4207,2,Undirected
美人,长安,0.3405,3,Undirected
花枝,长安,0.3405,3,Undirected
借问,此地,0.3142,2,Undirected
借问,生死,0.4587,3,Undirected
借问,苍苍,0.3518,3,Undirected
年年,生死,0.3902,3,Undirected
此地,生死,0.3585,2,Undirected
此地,苍苍,0.333,3,Undirected
此地,萧条,0.3009,3,Undirected
生死,苍苍,0.3988,3,Undirected
如今,憔悴,0.3572,3,Undirected
如今,苦辛,0.4231,3,Undirected
如今,莫道,0.3717,2,Undirected
如今,蛾眉,0.3427,2,Undirected
如今,颜色,0.3118,3,Undirected
憔悴,苦辛,0.4398,3,Undirected
憔悴,莫道,0.3874,2,Undirected
憔悴,蛾眉,0.3585,2,Undirected
憔悴,颜色,0.4369,5,Undirected
憔悴,黄金,0.423,4,Undirected
苦辛,莫道,0.4496,2,Undirected
苦辛,蛾眉,0.4207,2,Undirected
苦辛,颜色,0.3157,2,Undirected
苦辛,黄金,0.3478,2,Undirected
莫道,蛾眉,0.4496,2,Undirected
莫道,颜色,0.3446,2,Undirected
莫道,黄金,0.3767,2,Undirected
蛾眉,颜色,0.3944,3,Undirected
蛾眉,黄金,0.4918,4,Undirected
颜色,黄金,0.3172,3,Undirected
三十,歌声,0.3615,3,Undirected
不足,劝君,0.3828,2,Undirected
不足,奈何,0.4183,4,Undirected
不足,歌声,0.4297,2,Undirected
不足,青云,0.3303,3,Undirected
为君,劝君,0.3613,2,Undirected
为君,奈何,0.3353,3,Undirected
为君,年少,0.4303,4,Undirected
为君,歌声,0.4082,2,Undirected
劝君,千里,0.3075,3,Undirected
劝君,奈何,0.3564,2,Undirected
劝君,年少,0.4719,3,Undirected
劝君,春风,0.3075,3,Undirected
劝君,歌声,0.5048,2,Undirected
劝君,秋风,0.3152,2,Undirected
千里,歌声,0.3572,3,Undirected
奈何,富贵,0.4388,7,Undirected
奈何,年少,0.4249,4,Undirected
奈何,歌声,0.4033,2,Undirected
奈何,白日,0.3922,6,Undirected
奈何,青云,0.3024,3,Undirected
富贵,歌声,0.3361,2,Undirected
少年,年少,0.3207,4,Undirected
少年,歌声,0.3092,2,Undirected
年少,歌声,0.4356,2,Undirected
年少,白日,0.3409,4,Undirected
年少,秋风,0.3206,3,Undirected
歌声,白日,0.3274,2,Undirected
歌声,秋风,0.362,2,Undirected
白日,秋风,0.3043,5,Undirected
白日,青云,0.4585,9,Undirected
庭前,月明,0.3152,2,Undirected
庭前,鹦鹉,0.4496,2,Undirected
丹青,何曾,0.3879,2,Undirected
丹青,君恩,0.5789,3,Undirected
何曾,君恩,0.4591,3,Undirected
二十,沉沉,0.306,2,Undirected
可怜,蛾眉,0.3011,3,Undirected
奈何,沉沉,0.39,2,Undirected
奈何,蛾眉,0.4179,3,Undirected
富贵,朱门,0.379,5,Undirected
富贵,沉沉,0.3228,2,Undirected
朱门,沉沉,0.4894,3,Undirected
朱门,蛾眉,0.3531,2,Undirected
沉沉,蛾眉,0.4729,2,Undirected
不觉,今朝,0.3789,7,Undirected
不觉,功名,0.4,2,Undirected
不觉,年少,0.3749,3,Undirected
不觉,昨夜,0.3099,2,Undirected
今朝,昨夜,0.3853,6,Undirected
功名,四十,0.4815,4,Undirected
功名,奈何,0.39,2,Undirected
功名,富贵,0.4641,4,Undirected
功名,年少,0.4223,2,Undirected
功名,昨夜,0.435,2,Undirected
功名,白日,0.3142,2,Undirected
四十,奈何,0.332,4,Undirected
四十,如此,0.3418,8,Undirected
奈何,如此,0.3392,6,Undirected
年少,昨夜,0.3323,2,Undirected
东风,二月,0.5306,6,Undirected
东风,相识,0.3874,2,Undirected
二十,相识,0.4199,4,Undirected
二月,今年,0.3009,3,Undirected
二月,相识,0.3874,2,Undirected
今年,相识,0.3975,3,Undirected
一声,不易,0.3263,2,Undirected
一声,黄河,0.5199,4,Undirected
三十,不易,0.3118,3,Undirected
三十,骨肉,0.315,4,Undirected
三十,黄河,0.3615,3,Undirected
不易,相对,0.3664,2,Undirected
不易,骨肉,0.4082,2,Undirected
不易,黄河,0.5048,2,Undirected
相对,骨肉,0.3167,2,Undirected
相对,黄河,0.4133,2,Undirected
骨肉,黄河,0.4551,2,Undirected
别离,相思,0.4855,5,Undirected
不觉,归来,0.3468,4,Undirected
宛转,老病,0.3642,2,Undirected
东风,依依,0.3874,2,Undirected
东风,多情,0.3274,2,Undirected
东风,家家,0.3986,2,Undirected
东风,断肠,0.3771,2,Undirected
东风,有情,0.3585,2,Undirected
东风,杨柳,0.3928,3,Undirected
东风,深处,0.3771,2,Undirected
东风,白雪,0.3675,2,Undirected
东风,青青,0.4494,3,Undirected
东风,黄金,0.423,4,Undirected
两三,依依,0.3575,2,Undirected
两三,处处,0.3104,3,Undirected
两三,家家,0.3686,2,Undirected
两三,断肠,0.3472,2,Undirected
两三,无限,0.4017,4,Undirected
两三,有情,0.3286,2,Undirected
两三,杨柳,0.3611,3,Undirected
两三,洛阳,0.3011,4,Undirected
两三,深处,0.3472,2,Undirected
两三,白雪,0.3375,2,Undirected
两三,门前,0.3332,4,Undirected
两三,青青,0.3375,2,Undirected
二月,依依,0.3874,2,Undirected
二月,处处,0.3422,3,Undirected
二月,多情,0.3274,2,Undirected
二月,家家,0.3986,2,Undirected
二月,断肠,0.3771,2,Undirected
二月,有情,0.3585,2,Undirected
二月,杨柳,0.3142,2,Undirected
二月,深处,0.3771,2,Undirected
二月,白雪,0.3675,2,Undirected
二月,青青,0.3675,2,Undirected
依依,处处,0.3575,2,Undirected
依依,多情,0.4185,2,Undirected
依依,家家,0.4897,2,Undirected
依依,断肠,0.4682,2,Undirected
依依,无限,0.3874,2,Undirected
依依,有情,0.5364,3,Undirected
依依,杨柳,0.4052,2,Undirected
依依,深处,0.4682,2,Undirected
依依,白雪,0.4586,2,Undirected
依依,门前,0.3255,2,Undirected
依依,青青,0.4586,2,Undirected
依依,黄金,0.5239,4,Undirected
可怜,无限,0.3359,5,Undirected
可怜,有情,0.3588,4,Undirected
可怜,深处,0.3208,3,Undirected
可怜,青青,0.3687,4,Undirected
可怜,黄金,0.3236,5,Undirected
处处,多情,0.3751,3,Undirected
处处,家家,0.5689,5,Undirected
处处,断肠,0.3472,2,Undirected
处处,无限,0.3422,3,Undirected
处处,有情,0.3286,2,Undirected
处处,深处,0.3472,2,Undirected
处处,白雪,0.3375,2,Undirected
处处,青青,0.3375,2,Undirected
处处,黄金,0.3899,4,Undirected
多情,家家,0.4297,2,Undirected
多情,断肠,0.5587,4,Undirected
多情,无限,0.4069,3,Undirected
多情,有情,0.3896,2,Undirected
多情,杨柳,0.3452,2,Undirected
多情,洛阳,0.3106,3,Undirected
多情,深处,0.4082,2,Undirected
多情,白雪,0.3986,2,Undirected
多情,门前,0.3412,3,Undirected
多情,青青,0.3986,2,Undirected
多情,黄金,0.3955,3,Undirected
家家,断肠,0.4794,2,Undirected
家家,无限,0.3986,2,Undirected
家家,有情,0.4608,2,Undirected
家家,杨柳,0.4164,2,Undirected
家家,洛阳,0.3077,2,Undirected
家家,深处,0.4794,2,Undirected
家家,白雪,0.4697,2,Undirected
家家,门前,0.3366,2,Undirected
家家,青青,0.5577,3,Undirected
家家,黄金,0.3879,2,Undirected
断肠,无限,0.3771,2,Undirected
断肠,有情,0.4393,2,Undirected
断肠,杨柳,0.3949,2,Undirected
断肠,深处,0.4579,2,Undirected
断肠,白雪,0.4483,2,Undirected
断肠,门前,0.3152,2,Undirected
断肠,青青,0.4483,2,Undirected
断肠,黄金,0.4482,3,Undirected
无限,有情,0.4398,3,Undirected
无限,杨柳,0.3142,2,Undirected
无限,深处,0.3771,2,Undirected
无限,白雪,0.3675,2,Undirected
无限,门前,0.3083,3,Undirected
无限,青青,0.3675,2,Undirected
有情,杨柳,0.3763,2,Undirected
有情,深处,0.4393,2,Undirected
有情,白雪,0.4297,2,Undirected
有情,袅袅,0.3763,2,Undirected
有情,门前,0.3742,3,Undirected
有情,青青,0.5825,4,Undirected
有情,黄金,0.3478,2,Undirected
杨柳,深处,0.3949,2,Undirected
杨柳,白雪,0.5334,4,Undirected
杨柳,袅袅,0.4117,3,Undirected
杨柳,青青,0.5334,4,Undirected
杨柳,黄金,0.3034,2,Undirected
洛阳,白雪,0.4131,4,Undirected
深处,白雪,0.4483,2,Undirected
深处,门前,0.3152,2,Undirected
深处,青青,0.4483,2,Undirected
深处,黄金,0.3664,2,Undirected
白雪,袅袅,0.4682,3,Undirected
白雪,门前,0.3056,2,Undirected
白雪,青青,0.5248,3,Undirected
白雪,黄金,0.438,3,Undirected
袅袅,青青,0.3853,2,Undirected
袅袅,黄金,0.3034,2,Undirected
门前,青青,0.3056,2,Undirected
青青,黄金,0.438,3,Undirected
万里,天涯,0.3132,3,Undirected
万里,江湖,0.4093,4,Undirected
借问,岂无,0.3564,3,Undirected
借问,江湖,0.3599,2,Undirected
天涯,岂无,0.3498,3,Undirected
天涯,相思,0.4049,4,Undirected
天涯,茫茫,0.3025,2,Undirected
岂无,江湖,0.3077,2,Undirected
岂无,茫茫,0.3317,3,Undirected
江湖,相思,0.3034,2,Undirected
江湖,茫茫,0.3366,2,Undirected
太平,风起,0.4551,2,Undirected
早晚,枕上,0.4111,3,Undirected
早晚,江南,0.3224,4,Undirected
早晚,江水,0.3749,3,Undirected
早晚,芙蓉,0.3955,3,Undirected
枕上,江南,0.3261,3,Undirected
枕上,江水,0.4348,3,Undirected
枕上,相逢,0.3424,3,Undirected
枕上,芙蓉,0.5199,4,Undirected
枕上,风景,0.3568,3,Undirected
