Source,Target,Weight,Cooccur,Type
三十,不及,0.3699,3,Undirected
三十,归来,0.3505,4,Undirected
三十,春风,0.3562,7,Undirected
三十,美人,0.3572,4,Undirected
不及,归来,0.3017,3,Undirected
不及,美人,0.3081,3,Undirected
归来,春风,0.3122,8,Undirected
归来,美人,0.4341,7,Undirected
春风,桃李,0.3473,12,Undirected
春风,美人,0.3539,9,Undirected
桃李,美人,0.3552,7,Undirected
将军,汉家,0.5643,5,Undirected
将军,海上,0.3441,3,Undirected
汉家,海上,0.3783,3,Undirected
万古,与君,0.3202,5,Undirected
万古,为我,0.3826,5,Undirected
万古,主人,0.3345,4,Undirected
万古,千金,0.354,4,Undirected
万古,白发,0.3646,4,Undirected
不足,主人,0.3609,3,Undirected
不足,千金,0.3794,3,Undirected
不足,夫子,0.3583,4,Undirected
不足,惟有,0.3685,2,Undirected
不足,黄河,0.3997,4,Undirected
与君,为我,0.3254,4,Undirected
与君,主人,0.3345,4,Undirected
与君,千金,0.4124,5,Undirected
与君,白发,0.4235,5,Undirected
为我,主人,0.3237,3,Undirected
为我,千金,0.3422,3,Undirected
为我,夫子,0.3191,4,Undirected
为我,惟有,0.3337,2,Undirected
为我,白发,0.3523,3,Undirected
主人,夫子,0.3855,5,Undirected
主人,惟有,0.3418,2,Undirected
主人,黄河,0.3002,3,Undirected
千金,惟有,0.456,3,Undirected
千金,白发,0.3794,3,Undirected
千金,黄河,0.3891,4,Undirected
夫子,白发,0.3583,4,Undirected
惟有,白发,0.3685,2,Undirected
惟有,黄河,0.4054,3,Undirected
白发,黄河,0.3288,3,Undirected
千金,洛阳,0.3742,4,Undirected
千金,白马,0.3341,3,Undirected
茫茫,飞去,0.3591,2,Undirected
天地,谁能,0.4528,6,Undirected
天子,黄金,0.3015,8,Undirected
东风,美人,0.33,4,Undirected
绿水,美人,0.3551,5,Undirected
叹息,明月,0.399,8,Undirected
叹息,由来,0.4222,3,Undirected
叹息,高楼,0.3951,3,Undirected
明月,由来,0.3139,4,Undirected
由来,高楼,0.485,3,Undirected
万里,黄河,0.3971,10,Undirected
清晨,黄河,0.4222,3,Undirected
如此,登高,0.3187,3,Undirected
不肯,对酒,0.3616,2,Undirected
不肯,桃李,0.3236,4,Undirected
不肯,白发,0.4115,3,Undirected
今日,白发,0.3081,3,Undirected
明月,白发,0.3509,6,Undirected
春风,白发,0.3366,6,Undirected
桃李,白发,0.4061,6,Undirected
日暮,白日,0.3174,4,Undirected
日暮,谁家,0.4312,3,Undirected
东方,裴回,0.4282,2,Undirected
东海,今日,0.3964,5,Undirected
