Id,Label,English,Frequency,Valence
三十,三十,Thirty Years,19,0.1062
桃李,桃李,Peach and Plum,41,0.68
春风,春风,Spring Wind,58,0.3259
归来,归来,,28,-0.3222
不及,不及,,17,-0.1656
美人,美人,,27,0.2722
海上,海上,,22,0.0979
万里,万里,Ten Thousand Miles,62,-0.2884
将军,将军,General,17,-0.0853
汉家,汉家,Han Court,14,0.4123
白发,白发,White Hair,17,-0.0151
千金,千金,,18,1.0997
不足,不足,,17,0.2233
与君,与君,,29,0.2652
惟有,惟有,,11,0.0394
万古,万古,,29,-0.2339
为我,为我,,21,-0.0178
黄河,黄河,The Yellow River,24,-0.1352
主人,主人,Host,20,0.0842
夫子,夫子,The Master,30,0.2251
白马,白马,,22,0.321
洛阳,洛阳,Luoyang,26,0.7045
飞去,飞去,Flying Away,11,-0.0587
茫茫,茫茫,,18,-1.5401
谁能,谁能,,12,-0.3736
天地,天地,Heaven and Earth,46,0.8434
天子,天子,Son of Heaven,28,0.7321
黄金,黄金,Yellow Gold,61,0.4783
东风,东风,,22,0.0543
绿水,绿水,,26,0.5385
叹息,叹息,Heavy Sighing,20,-0.3894
高楼,高楼,High Tower,14,0.1878
明月,明月,Bright Moon,54,0.0193
由来,由来,,12,0.3073
谁家,谁家,Whose House,19,0.0365
白雪,白雪,,21,0.47
不肯,不肯,,15,-0.3524
出门,出门,,10,-0.2733
花落,花落,Falling Blossoms,15,-0.5727
清晨,清晨,,10,0.7801
白日,白日,,53,0.1973
如此,如此,,24,0.0162
登高,登高,,18,0.3734
对酒,对酒,,13,0.1756
今日,今日,Today,27,-0.0565
日暮,日暮,At Dusk,12,-0.7575
裴回,裴回,,13,-0.6004
东方,东方,,10,0.9272
明朝,明朝,,12,0.6076
蛾眉,蛾眉,,21,-0.0404
东海,东海,Eastern Sea,21,0.5358
天涯,天涯,The Sky's Edge,14,-0.366
憔悴,憔悴,Haggard,12,-1.8277
神仙,神仙,Immortals,11,1.1768
蹉跎,蹉跎,Wasted Years,15,-0.4674
富贵,富贵,Wealth and Honor,16,1.3516
落日,落日,Setting Sun,31,-0.8922
草木,草木,,17,-0.0577
北斗,北斗,,11,0.6389
百年,百年,,10,-0.0406
此去,此去,,10,-0.163
青云,青云,,41,0.2884
昨日,昨日,Yesterdays,12,0.2451
肠断,肠断,,21,-1.7167
从此,从此,,13,-0.0057
旌旗,旌旗,Banners,10,0.6144
四海,四海,,12,0.6929
故人,故人,Old Friend,28,-0.6698
