Source,Target,Weight,Cooccur,Type
少年,长安,0.4832,3,Undirected
明月,长安,0.5484,3,Undirected
将军,汉家,0.7259,5,Undirected
天子,归来,0.5404,3,Undirected
天子,日暮,0.3576,2,Undirected
归来,日暮,0.4009,2,Undirected
君王,门外,0.6479,3,Undirected
万里,天地,0.3313,2,Undirected
天子,将军,0.3761,2,Undirected
天子,少年,0.4082,3,Undirected
天子,汉家,0.4193,2,Undirected
天子,纷纷,0.5104,2,Undirected
天子,高楼,0.5104,2,Undirected
将军,少年,0.4989,4,Undirected
将军,纷纷,0.5104,2,Undirected
将军,高楼,0.5104,2,Undirected
少年,汉家,0.4551,3,Undirected
少年,纷纷,0.4318,2,Undirected
少年,高楼,0.4318,2,Undirected
汉家,纷纷,0.5537,2,Undirected
汉家,高楼,0.5537,2,Undirected
纷纷,高楼,0.6448,2,Undirected
故人,青青,0.3666,2,Undirected
君王,洛阳,0.4009,2,Undirected
与君,春风,0.5203,3,Undirected
与君,草色,0.4397,2,Undirected
春风,草色,0.378,2,Undirected
南山,悠悠,0.3612,2,Undirected
南山,携手,0.4169,2,Undirected
寂寞,故人,0.3407,2,Undirected
千里,悠悠,0.3054,2,Undirected
千里,惆怅,0.4551,3,Undirected
千里,高楼,0.4751,2,Undirected
与君,洛阳,0.4009,2,Undirected
将军,苍茫,0.4452,2,Undirected
故人,洛阳,0.3881,3,Undirected
故人,苍茫,0.3666,2,Undirected
天子,相送,0.4452,2,Undirected
从此,明月,0.4566,2,Undirected
日暮,相送,0.5484,3,Undirected
千里,车马,0.4397,2,Undirected
天子,黄金,0.4751,2,Undirected
少年,归来,0.3407,2,Undirected
归来,车马,0.5183,2,Undirected
惆怅,车马,0.4751,2,Undirected
杨柳,青青,0.6154,3,Undirected
青山,鸡鸣,0.3612,2,Undirected
千里,门前,0.4397,2,Undirected
故人,门前,0.3965,2,Undirected
故人,飞鸟,0.3666,2,Undirected
白云,青山,0.3437,4,Undirected
春草,白云,0.3007,3,Undirected
今日,天子,0.5104,2,Undirected
今日,日夕,0.6448,2,Undirected
何事,日夕,0.5796,2,Undirected
故人,黄金,0.3965,2,Undirected
天地,惆怅,0.3965,2,Undirected
寂寞,苍茫,0.4885,2,Undirected
千里,将军,0.3407,2,Undirected
才子,洛阳,0.492,2,Undirected
春草,草色,0.5156,3,Undirected
落日,门外,0.4242,2,Undirected
桃源,青山,0.4751,2,Undirected
人间,白云,0.3328,2,Undirected
故人,送君,0.3666,2,Undirected
落日,遥知,0.4596,2,Undirected
与君,借问,0.4885,2,Undirected
旌旗,渭水,0.5537,2,Undirected
旌旗,鸡鸣,0.5309,2,Undirected
洛阳,相见,0.4566,2,Undirected
