Source,Target,Weight,Cooccur,Type
丈夫,中原,0.3787,3,Undirected
丈夫,为我,0.3872,2,Undirected
丈夫,亦有,0.4955,3,Undirected
丈夫,出门,0.4136,2,Undirected
丈夫,功名,0.4286,2,Undirected
丈夫,悠悠,0.3043,2,Undirected
丈夫,浮云,0.3934,3,Undirected
丈夫,男儿,0.3872,2,Undirected
丈夫,骨肉,0.4136,2,Undirected
中原,为我,0.4028,3,Undirected
中原,亦有,0.3258,2,Undirected
中原,出门,0.3395,2,Undirected
中原,功名,0.447,3,Undirected
中原,悠悠,0.3142,3,Undirected
中原,男儿,0.4028,3,Undirected
中原,骨肉,0.3395,2,Undirected
为我,亦有,0.5969,4,Undirected
为我,几时,0.3131,2,Undirected
为我,出门,0.4361,2,Undirected
为我,功名,0.4512,2,Undirected
为我,十年,0.3544,3,Undirected
为我,悠悠,0.3269,2,Undirected
为我,浮云,0.3269,2,Undirected
为我,男儿,0.5061,3,Undirected
为我,骨肉,0.5342,3,Undirected
亦有,几时,0.3258,2,Undirected
亦有,出门,0.4488,2,Undirected
亦有,功名,0.4638,2,Undirected
亦有,悠悠,0.3395,2,Undirected
亦有,浮云,0.431,3,Undirected
亦有,男儿,0.4224,2,Undirected
亦有,骨肉,0.4488,2,Undirected
几时,出门,0.431,3,Undirected
几时,功名,0.447,3,Undirected
几时,男儿,0.4028,3,Undirected
几时,骨肉,0.3395,2,Undirected
出门,功名,0.4775,2,Undirected
出门,悠悠,0.4456,3,Undirected
出门,浮云,0.4456,3,Undirected
出门,男儿,0.5342,3,Undirected
出门,骨肉,0.4625,2,Undirected
功名,十年,0.3986,3,Undirected
功名,悠悠,0.3682,2,Undirected
功名,浮云,0.4617,3,Undirected
功名,男儿,0.5503,3,Undirected
功名,骨肉,0.4775,2,Undirected
十年,悠悠,0.3849,5,Undirected
十年,男儿,0.5334,6,Undirected
十年,风尘,0.3273,7,Undirected
十年,骨肉,0.4529,4,Undirected
悠悠,浮云,0.3965,4,Undirected
悠悠,男儿,0.4175,3,Undirected
悠悠,骨肉,0.3532,2,Undirected
浮云,男儿,0.3269,2,Undirected
浮云,骨肉,0.3532,2,Undirected
男儿,骨肉,0.4361,2,Undirected
不敢,不足,0.3302,2,Undirected
不敢,借问,0.447,3,Undirected
不敢,古人,0.3092,2,Undirected
不敢,寂寥,0.3092,2,Undirected
不敢,少年,0.3696,3,Undirected
不敢,岂知,0.4617,3,Undirected
不敢,男儿,0.4335,3,Undirected
不足,借问,0.4107,2,Undirected
不足,古人,0.3654,2,Undirected
不足,壮士,0.3468,2,Undirected
不足,寂寥,0.3654,2,Undirected
不足,少年,0.3383,2,Undirected
不足,岂知,0.4245,2,Undirected
不足,男儿,0.3981,2,Undirected
不足,英雄,0.3468,2,Undirected
不足,萧萧,0.3585,3,Undirected
借问,十年,0.3678,3,Undirected
借问,古人,0.3897,2,Undirected
借问,壮士,0.3711,2,Undirected
借问,寂寥,0.3897,2,Undirected
借问,少年,0.3626,2,Undirected
借问,岂知,0.4488,2,Undirected
借问,男儿,0.5196,3,Undirected
借问,英雄,0.4648,3,Undirected
借问,落日,0.3015,2,Undirected
十年,古人,0.3194,3,Undirected
十年,岂知,0.3825,3,Undirected
古人,壮士,0.3258,2,Undirected
古人,寂寥,0.3443,2,Undirected
古人,少年,0.4072,3,Undirected
古人,岂知,0.4034,2,Undirected
古人,男儿,0.3771,2,Undirected
古人,英雄,0.3258,2,Undirected
古人,萧萧,0.336,3,Undirected
壮士,寂寥,0.4163,3,Undirected
壮士,岂知,0.4794,3,Undirected
壮士,男儿,0.3585,2,Undirected
壮士,英雄,0.3965,3,Undirected
寂寥,少年,0.4072,3,Undirected
寂寥,岂知,0.4034,2,Undirected
寂寥,男儿,0.3771,2,Undirected
寂寥,英雄,0.3258,2,Undirected
寂寥,萧萧,0.404,4,Undirected
少年,岂知,0.3763,2,Undirected
少年,男儿,0.5156,4,Undirected
少年,英雄,0.458,4,Undirected
少年,落日,0.3129,3,Undirected
岂知,男儿,0.4361,2,Undirected
岂知,英雄,0.3848,2,Undirected
岂知,萧萧,0.3096,2,Undirected
岂知,落日,0.3152,2,Undirected
男儿,英雄,0.3585,2,Undirected
男儿,萧萧,0.3709,3,Undirected
今年,北风,0.4936,3,Undirected
今年,去年,0.5196,3,Undirected
今年,长安,0.4028,3,Undirected
北风,去年,0.5071,3,Undirected
北风,长安,0.3015,2,Undirected
去年,蛟龙,0.3072,2,Undirected
