Id,Label,English,Frequency,Valence
少年,少年,Youth,15,0.1931
长安,长安,Chang'an,7,0.5163
明月,明月,Bright Moon,11,0.0193
将军,将军,General,10,-0.0853
汉家,汉家,Han Court,8,0.4123
归来,归来,,8,-0.3222
日暮,日暮,At Dusk,11,-0.7575
天子,天子,Son of Heaven,10,0.7321
君王,君王,The Sovereign,8,0.3187
门外,门外,Outside the Gate,6,-0.1333
我心,我心,,5,-0.5845
青青,青青,Lush and Green,7,-0.2758
万里,万里,Ten Thousand Miles,14,-0.2884
天地,天地,Heaven and Earth,9,0.8434
高楼,高楼,High Tower,5,0.1878
纷纷,纷纷,One after Another,5,-0.0369
故人,故人,Old Friend,15,-0.6698
鸡鸣,鸡鸣,,9,0.0525
渭水,渭水,,8,0.1141
落日,落日,Setting Sun,13,-0.8922
洛阳,洛阳,Luoyang,11,0.7045
相思,相思,Mutual Longing,7,-0.5948
苍茫,苍茫,Vast and Boundless,7,-1.146
君子,君子,,7,0.414
携手,携手,Hand in Hand,9,0.1738
与君,与君,,8,0.2652
春风,春风,Spring Wind,11,0.3259
草色,草色,,9,0.0875
千里,千里,A Thousand Miles,12,-0.1751
悠悠,悠悠,Leisurely,12,0.0199
秋风,秋风,Autumn Wind,5,-0.9585
云霞,云霞,Clouds and Mist,5,0.4779
南山,南山,,9,0.2651
何事,何事,,7,-0.3475
桃李,桃李,Peach and Plum,5,0.68
日夕,日夕,,5,0.0659
寂寞,寂寞,Loneliness,8,-1.9953
山河,山河,,8,0.1419
惆怅,惆怅,Melancholy,10,-1.4675
杨柳,杨柳,Willows,8,0.0191
相送,相送,,7,-0.4179
从此,从此,,6,-0.0057
白云,白云,White Clouds,25,0.1784
送君,送君,Farewell to You,7,-0.7118
明主,明主,Enlightened Sovereign,5,1.056
车马,车马,,6,0.5834
黄金,黄金,Yellow Gold,6,0.4783
薄暮,薄暮,,6,-0.2286
别离,别离,,5,-2.1937
飞鸟,飞鸟,Soaring Bird,7,-0.1439
陌上,陌上,By the Path,5,0.3499
四邻,四邻,Four Neighbors,6,-0.0367
青山,青山,Green Hills,12,-0.1961
焚香,焚香,Burning Incense,9,0.5524
桃源,桃源,Peach Blossom Spring,5,0.8521
门前,门前,Before the Gate,6,-0.2243
相见,相见,,6,-0.4431
主人,主人,Host,7,0.0842
旌旗,旌旗,Banners,5,0.6144
春草,春草,,10,0.2453
今日,今日,Today,5,-0.0565
相识,相识,,5,-0.1318
先生,先生,,5,0.3029
人间,人间,,5,-0.1926
衣冠,衣冠,Capped and Gowned,5,0.314
才子,才子,Talented Scholar,5,0.7088
落花,落花,,6,-0.2888
不敢,不敢,,5,-0.2748
借问,借问,,7,0.019
遥知,遥知,,5,0.2045
闻道,闻道,,7,0.1541
