教材题名,作者,语料题名,情感值,时期
咏鹅,骆宾王,咏鹅（七岁时作）,2.9457,初唐
悯农,李绅,古风二首,0.1237,中唐
古朗月行,李白,古朗月行,0.4728,盛唐
风,李峤,风,0.8907,初唐
春晓,孟浩然,春晓,-2.7743,盛唐
赠汪伦,李白,赠汪伦（白游泾县桃花潭，村人汪伦常酝美酒以待白）,1.6323,盛唐
静夜思,李白,静夜思,-0.9336,盛唐
寻隐者不遇,贾岛,寻隐者不遇（一作孙革访羊尊师诗）,0.1965,中唐
池上,白居易,池上二绝,1.275,中唐
小儿垂钓,胡令能,小儿垂钓,-0.0358,中唐
登鹳雀楼,王之涣,登鹳雀楼（一作朱斌诗）,-0.037,盛唐
望庐山瀑布,李白,望庐山瀑布水二首,2.232,盛唐
江雪,柳宗元,江雪,-1.5775,中唐
咏柳,贺知章,咏柳（一作柳枝词）,1.9001,盛唐
赋得古原草送别,白居易,赋得古原草送别,-1.0723,中唐
绝句,杜甫,绝句四首,0.8865,盛唐
悯农,李绅,古风二首,0.1237,中唐
山行,杜牧,山行,0.3987,晚唐
望天门山,李白,望天门山,-1.984,盛唐
望洞庭,刘禹锡,望洞庭,1.3935,中唐
早发白帝城,李白,早发白帝城（一作白帝下江陵）,-1.3585,盛唐
采莲曲,王昌龄,相和歌辞·采莲曲三首,1.2447,盛唐
绝句,杜甫,绝句二首,1.5903,盛唐
忆江南,白居易,杂曲歌辞·忆江南,0.6321,中唐
九月九日忆山东兄弟,王维,九月九日忆山东兄弟（时年十七）,0.0693,盛唐
滁州西涧,韦应物,滁州西涧,-0.8862,中唐
大林寺桃花,白居易,大林寺桃花,2.3679,中唐
鹿柴,王维,辋川集·鹿柴,-1.4575,盛唐
暮江吟,白居易,暮江吟,-0.1536,中唐
出塞,王昌龄,横吹曲辞·出塞,-1.0611,盛唐
凉州词,王翰,凉州词二首,-0.0123,盛唐
别董大,高适,别董大二首,-0.7371,盛唐
嫦娥,李商隐,常娥,-0.2353,晚唐
江畔独步寻花,杜甫,江畔独步寻花七绝句,1.9607,盛唐
蜂,罗隐,蜂,1.0383,晚唐
独坐敬亭山,李白,独坐敬亭山,-0.5104,盛唐
芙蓉楼送辛渐,王昌龄,芙蓉楼送辛渐二首,-1.1754,盛唐
塞下曲,卢纶,和张仆射塞下曲,1.6874,中唐
山居秋暝,王维,山居秋暝,1.3911,盛唐
枫桥夜泊,张继,枫桥夜泊（一作夜泊枫江）,-3.757,盛唐
渔歌子,张志和,杂歌谣辞·渔父歌,0.4005,中唐
游子吟,孟郊,杂曲歌辞·游子吟,-0.3107,中唐
鸟鸣涧,王维,皇甫岳云溪杂题五首·鸟鸣涧,-0.1886,盛唐
从军行,王昌龄,相和歌辞·从军行,-1.3815,盛唐
闻官军收河南河北,杜甫,闻官军收河南河北,0.3292,盛唐
凉州词,王之涣,凉州词二首,-0.0225,盛唐
黄鹤楼送孟浩然之广陵,李白,黄鹤楼送孟浩然之广陵,-0.6038,盛唐
宿建德江,孟浩然,宿建德江,-0.9861,盛唐
过故人庄,孟浩然,过故人庄,2.1191,盛唐
浪淘沙,刘禹锡,杂曲歌辞·浪淘沙,0.5758,中唐
江南春,杜牧,江南春绝句,0.9317,晚唐
寒食,韩翃,寒食（一作寒食日即事）,1.5302,中唐
十五夜望月,王建,十五夜望月寄杜郎中,-2.3245,晚唐
马诗,李贺,马诗二十三首,1.5051,中唐
春夜喜雨,杜甫,春夜喜雨,0.6764,盛唐
早春呈水部张十八员外,韩愈,早春呈水部张十八员外二首,1.7428,中唐
送元二使安西,王维,杂曲歌辞·渭城曲,1.3271,盛唐
闻王昌龄左迁龙标遥有此寄,李白,闻王昌龄左迁龙标，遥有此寄,-0.705,盛唐
次北固山下,王湾,次北固山下,-0.8484,盛唐
峨眉山月歌,李白,峨眉山月歌,-1.0225,盛唐
江南逢李龟年,杜甫,江南逢李龟年,0.9183,盛唐
行军九日思长安故园,岑参,行军九日思长安故园（时未收长安）,0.5171,盛唐
夜上受降城闻笛,李益,夜上受降城闻笛（一作戎昱诗）,-3.3629,中唐
秋词,刘禹锡,秋词二首,-0.051,中唐
夜雨寄北,李商隐,夜雨寄北,-1.9651,晚唐
竹里馆,王维,辋川集·竹里馆,-1.4679,盛唐
春夜洛城闻笛,李白,春夜洛城闻笛,-1.4193,盛唐
逢入京使,岑参,逢入京使,-0.5178,盛唐
晚春,韩愈,游城南十六首·晚春,2.8282,中唐
登幽州台歌,陈子昂,登幽州台歌,-2.1895,初唐
望岳,杜甫,望岳,2.2799,盛唐
泊秦淮,杜牧,泊秦淮,-2.0867,晚唐
贾生,李商隐,贾生,1.3064,晚唐
野望,王绩,野望,-0.2883,初唐
黄鹤楼,崔颢,黄鹤楼,-1.2975,盛唐
使至塞上,王维,使至塞上,-0.3365,盛唐
渡荆门送别,李白,渡荆门送别,-0.4238,盛唐
钱塘湖春行,白居易,钱唐湖春行,1.3997,中唐
春望,杜甫,春望,-0.9176,盛唐
雁门太守行,李贺,相和歌辞·雁门太守行,0.8326,中唐
赤壁,杜牧,赤壁（一作李商隐诗）,1.0026,晚唐
送杜少府之任蜀州,王勃,杜少府之任蜀州,-0.621,初唐
望洞庭湖赠张丞相,孟浩然,望洞庭湖，赠张丞相（一作临洞庭）,2.6657,盛唐
题破山寺后禅院,常建,题破山寺后禅院,1.5379,盛唐
送友人,李白,送友人,-2.0417,盛唐
茅屋为秋风所破歌,杜甫,茅屋为秋风所破歌,-0.5644,盛唐
卖炭翁,白居易,卖炭翁－苦官市也,0.9875,中唐
行路难,李白,行路难三首,1.8453,盛唐
酬乐天扬州初逢席上见赠,刘禹锡,酬乐天扬州初逢席上见赠,-1.5282,中唐
月夜忆舍弟,杜甫,月夜忆舍弟,-1.952,盛唐
长沙过贾谊宅,刘长卿,长沙过贾谊宅,-4.9758,中唐
左迁至蓝关示侄孙湘,韩愈,左迁至蓝关示侄孙湘（湘，愈侄十二郎之子）,0.7428,中唐
商山早行,温庭筠,商山早行,-2.0904,晚唐
咸阳城东楼,许浑,咸阳城东楼（一作咸阳城西楼晚眺，一作西门）,-1.1891,晚唐
无题,李商隐,无题,-1.662,晚唐
白雪歌送武判官归京,岑参,白雪歌，送武判官归京,-0.2272,盛唐
梦游天姥吟留别,李白,梦游天姥吟留别（一作别东鲁诸公）,0.9004,盛唐
登高,杜甫,登高,-3.1976,盛唐
琵琶行,白居易,琵琶引,-1.0508,中唐
蜀道难,李白,相和歌辞·蜀道难,0.9667,盛唐
蜀相,杜甫,蜀相（诸葛亮祠在昭烈庙西）,2.5149,盛唐
登岳阳楼,杜甫,登岳阳楼,-0.4446,盛唐
春江花月夜,张若虚,相和歌辞·春江花月夜,-0.8117,初唐
将进酒,李白,乐府杂曲·鼓吹曲辞·将进酒,2.3902,盛唐
燕歌行,高适,相和歌辞·燕歌行,-1.119,盛唐
李凭箜篌引,李贺,李凭箜篌引,0.4504,中唐
